tipo_producto,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,score_latente,exito,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta
servicio,online,208.82,89.15,119.67,57.31,7,42,66,media,36.1,0,3,No me convence del todo,-0.5,20.5,0
digital,marketplace,195.37,94.27,101.1,51.75,10,46,31,alta,18.43,0,2,No me convence del todo,-0.5,9.5,0
digital,web_saas,188.4,117.12,71.28,37.83,9,68,74,alta,35.24,0,2,No me sentí identificado,-0.5,9.5,0
fisico,tienda_de_conveniencia,82.01,36.33,45.68,55.7,5,67,73,media,49.45,1,8,Lo volvería a elegir,0.5,68.5,1
servicio,presencial,229.51,154.21,75.3,32.81,10,95,45,media,35.31,0,3,Probablemente no lo volvería a usar,0.0,28.0,0
fisico,super,46.3,21.09,25.21,54.45,6,24,64,alta,56.24,1,8,La experiencia fue muy positiva,0.5,68.5,1
fisico,retail,68.78,40.56,28.22,41.03,7,92,71,media,53.09,1,9,Me encanta este producto,0.5,75.5,1
digital,web_saas,116.02,49.33,66.69,57.48,4,84,43,alta,42.78,1,8,Me encanta este producto,0.5,66.5,1
digital,app_store,92.36,41.19,51.17,55.4,1,81,74,alta,61.29,1,10,Lo volvería a elegir,0.5,80.5,1
fisico,tienda_de_conveniencia,94.54,52.33,42.21,44.65,6,92,50,baja,52.61,1,9,Se siente muy bien usarlo,0.5,75.5,1
servicio,hibrido,94.58,49.89,44.69,47.25,4,52,37,baja,34.02,0,4,No me sentí identificado,-0.5,27.5,0
digital,marketplace,169.12,103.37,65.75,38.88,2,78,79,media,45.97,1,9,Se siente muy bien usarlo,0.5,73.5,1
digital,marketplace,44.44,22.08,22.36,50.32,8,50,74,alta,50.75,1,10,Me encanta este producto,0.5,80.5,1
digital,web_saas,142.93,99.42,43.51,30.44,4,14,54,baja,19.11,0,1,Probablemente no lo volvería a usar,0.0,10.0,0
servicio,hibrido,136.61,55.78,80.83,59.17,1,69,77,alta,60.57,1,8,La experiencia fue muy positiva,0.5,70.5,1
servicio,hibrido,164.07,68.98,95.09,57.96,8,84,39,media,44.73,1,7,La experiencia fue muy positiva,0.5,63.5,1
servicio,presencial,263.06,170.82,92.24,35.06,2,93,74,media,34.15,0,6,La experiencia no fue lo que esperaba,-0.5,41.5,0
digital,app_store,131.7,64.54,67.16,50.99,4,60,66,media,53.14,1,7,Me identifico con la marca,0.5,59.5,0
digital,web_saas,122.87,53.75,69.12,56.25,6,27,58,baja,33.57,0,6,No conecté con este producto,-0.5,37.5,0
digital,marketplace,158.16,91.79,66.37,41.96,9,38,29,media,26.51,0,4,Probablemente no lo volvería a usar,0.0,31.0,0
servicio,online,114.01,54.71,59.3,52.01,7,76,43,alta,43.64,1,9,Me identifico con la marca,0.5,77.5,1
servicio,presencial,241.13,147.62,93.51,38.78,1,60,91,media,44.34,1,10,Me identifico con la marca,0.5,84.5,1
servicio,online,234.8,156.65,78.15,33.28,4,41,38,alta,21.47,0,3,Probablemente no lo volvería a usar,0.0,28.0,0
digital,marketplace,205.77,96.77,109.0,52.97,2,16,63,baja,26.31,0,6,La experiencia no fue lo que esperaba,-0.5,37.5,0
digital,marketplace,227.28,134.1,93.18,41.0,9,53,92,media,36.61,0,6,Probablemente no lo volvería a usar,0.0,45.0,0
digital,app_store,161.4,69.24,92.16,57.1,7,70,21,baja,30.91,0,5,La experiencia no fue lo que esperaba,-0.5,30.5,0
fisico,super,75.8,43.66,32.14,42.4,7,64,59,media,44.33,1,10,Se siente muy bien usarlo,0.5,82.5,1
fisico,retail,83.57,43.17,40.4,48.34,6,98,69,media,60.2,1,7,Me encanta este producto,0.5,61.5,1
servicio,hibrido,166.98,106.44,60.54,36.26,6,100,89,alta,57.15,1,7,Me encanta este producto,0.5,63.5,1
servicio,presencial,317.1,198.92,118.18,37.27,7,86,20,baja,14.51,0,2,La experiencia no fue lo que esperaba,-0.5,13.5,0
digital,app_store,168.06,108.15,59.91,35.65,9,52,48,media,30.03,0,2,No conecté con este producto,-0.5,9.5,0
servicio,presencial,138.17,69.76,68.41,49.51,2,16,25,media,31.66,0,3,La experiencia no fue lo que esperaba,-0.5,20.5,0
servicio,online,250.84,124.14,126.7,50.51,7,21,77,media,22.81,0,4,Probablemente no lo volvería a usar,0.0,35.0,0
digital,app_store,143.77,94.5,49.27,34.27,4,67,81,alta,44.78,1,8,La experiencia fue muy positiva,0.5,66.5,1
digital,marketplace,154.91,85.16,69.75,45.03,7,44,52,alta,35.11,0,2,No conecté con este producto,-0.5,9.5,0
servicio,online,187.43,125.61,61.82,32.98,3,76,88,media,45.39,1,7,Lo volvería a elegir,0.5,63.5,1
fisico,retail,90.42,50.19,40.23,44.49,5,20,87,media,43.44,1,8,Se siente muy bien usarlo,0.5,68.5,1
digital,web_saas,159.32,67.97,91.35,57.34,2,10,89,media,35.65,0,5,No me convence del todo,-0.5,30.5,0
fisico,super,110.36,47.96,62.4,56.54,1,54,25,alta,50.34,1,10,Me identifico con la marca,0.5,82.5,1
servicio,presencial,249.45,108.02,141.43,56.7,4,38,47,alta,31.52,0,5,Probablemente no lo volvería a usar,0.0,42.0,0
servicio,hibrido,92.18,43.29,48.89,53.04,7,67,36,media,45.14,1,8,Me encanta este producto,0.5,70.5,1
digital,web_saas,153.93,94.96,58.97,38.31,9,37,81,media,45.97,1,7,Se siente muy bien usarlo,0.5,59.5,0
fisico,tienda_de_conveniencia,87.78,55.55,32.23,36.72,2,18,56,alta,35.81,0,6,No me convence del todo,-0.5,39.5,0
servicio,hibrido,270.03,165.96,104.07,38.54,3,49,90,media,32.54,0,3,No conecté con este producto,-0.5,20.5,0
fisico,retail,47.21,22.56,24.65,52.21,9,62,75,baja,55.0,1,7,Me encanta este producto,0.5,61.5,1
servicio,hibrido,251.19,164.84,86.35,34.38,2,73,83,media,41.47,0,6,La experiencia no fue lo que esperaba,-0.5,41.5,0
servicio,online,218.6,92.34,126.26,57.76,3,85,44,media,40.15,0,1,No me convence del todo,-0.5,6.5,0
fisico,tienda_de_conveniencia,106.32,51.6,54.72,51.47,4,29,96,alta,48.15,1,8,Lo volvería a elegir,0.5,68.5,1
servicio,hibrido,150.71,89.29,61.42,40.75,1,10,21,media,22.94,0,4,No conecté con este producto,-0.5,27.5,0
fisico,tienda_de_conveniencia,98.27,52.43,45.84,46.65,9,77,83,baja,52.52,1,8,La experiencia fue muy positiva,0.5,68.5,1
fisico,tienda_de_conveniencia,78.73,53.84,24.89,31.61,8,35,86,alta,50.23,1,8,Se siente muy bien usarlo,0.5,68.5,1
digital,app_store,127.96,88.08,39.88,31.17,7,98,83,alta,52.41,1,8,Me identifico con la marca,0.5,66.5,1
servicio,online,287.84,178.25,109.59,38.07,3,30,80,alta,25.63,0,1,La experiencia no fue lo que esperaba,-0.5,6.5,0
digital,web_saas,83.04,36.86,46.18,55.61,6,79,74,baja,56.36,1,8,Lo volvería a elegir,0.5,66.5,1
fisico,super,38.12,25.32,12.8,33.58,7,88,61,media,52.6,1,7,Se siente muy bien usarlo,0.5,61.5,1
servicio,hibrido,222.93,128.2,94.73,42.49,9,62,48,alta,35.22,0,1,Probablemente no lo volvería a usar,0.0,14.0,0
servicio,presencial,163.57,92.32,71.25,43.56,4,37,29,alta,24.82,0,2,Probablemente no lo volvería a usar,0.0,21.0,0
fisico,ecommerce,64.12,32.18,31.94,49.81,6,80,57,alta,57.88,1,10,Lo volvería a elegir,0.5,82.5,1
fisico,tienda_de_conveniencia,121.72,73.39,48.33,39.71,7,17,36,media,17.42,0,4,La experiencia no fue lo que esperaba,-0.5,25.5,0
servicio,hibrido,207.34,112.04,95.3,45.96,2,79,50,media,47.45,1,10,Lo volvería a elegir,0.5,84.5,1
fisico,retail,86.58,44.81,41.77,48.24,9,46,39,baja,33.36,0,5,Probablemente no lo volvería a usar,0.0,40.0,0
digital,marketplace,176.41,102.43,73.98,41.94,5,82,98,media,52.73,1,8,Me identifico con la marca,0.5,66.5,1
servicio,presencial,241.19,147.34,93.85,38.91,8,75,45,media,21.59,0,3,No conecté con este producto,-0.5,20.5,0
fisico,super,77.35,31.91,45.44,58.75,5,71,63,alta,64.14,1,9,Se siente muy bien usarlo,0.5,75.5,1
digital,web_saas,126.92,52.62,74.3,58.54,8,89,73,alta,49.47,1,9,Se siente muy bien usarlo,0.5,73.5,1
digital,marketplace,155.83,87.3,68.53,43.98,6,15,27,alta,17.88,0,4,La experiencia no fue lo que esperaba,-0.5,23.5,0
fisico,retail,86.1,37.27,48.83,56.71,7,18,25,baja,26.58,0,5,La experiencia no fue lo que esperaba,-0.5,32.5,0
fisico,retail,102.0,47.68,54.32,53.25,2,54,61,baja,56.14,1,7,Se siente muy bien usarlo,0.5,61.5,1
digital,marketplace,138.78,90.89,47.89,34.51,1,65,91,baja,57.74,1,9,La experiencia fue muy positiva,0.5,73.5,1
servicio,hibrido,205.97,90.59,115.38,56.02,8,23,96,media,43.04,1,9,La experiencia fue muy positiva,0.5,77.5,1
fisico,tienda_de_conveniencia,80.08,34.82,45.26,56.52,4,45,28,media,49.49,1,8,Me encanta este producto,0.5,68.5,1
servicio,online,234.22,110.98,123.24,52.62,3,91,89,alta,56.04,1,8,Se siente muy bien usarlo,0.5,70.5,1
fisico,tienda_de_conveniencia,62.2,34.88,27.32,43.92,2,45,28,media,40.08,0,6,Probablemente no lo volvería a usar,0.0,47.0,0
fisico,super,62.47,33.99,28.48,45.59,8,50,53,baja,40.28,0,4,No conecté con este producto,-0.5,25.5,0
fisico,super,87.37,43.71,43.66,49.97,5,92,84,alta,53.46,1,9,Me identifico con la marca,0.5,75.5,1
fisico,retail,88.58,39.72,48.86,55.16,10,18,88,media,44.23,1,8,La experiencia fue muy positiva,0.5,68.5,1
digital,marketplace,222.47,134.5,87.97,39.54,4,16,49,baja,20.0,0,6,No me sentí identificado,-0.5,37.5,0
servicio,online,152.47,97.5,54.97,36.05,7,84,31,baja,33.23,0,5,La experiencia no fue lo que esperaba,-0.5,34.5,0
servicio,hibrido,166.04,82.48,83.56,50.33,1,96,29,media,46.54,1,10,La experiencia fue muy positiva,0.5,84.5,1
servicio,hibrido,260.56,160.37,100.19,38.45,1,71,83,media,43.18,1,8,La experiencia fue muy positiva,0.5,70.5,1
fisico,tienda_de_conveniencia,109.58,52.57,57.01,52.03,4,62,23,media,34.19,0,1,No me convence del todo,-0.5,4.5,0
digital,web_saas,124.32,65.61,58.71,47.22,8,70,43,media,45.82,1,10,Me encanta este producto,0.5,80.5,1
servicio,online,340.74,223.38,117.36,34.44,10,56,92,media,22.05,0,6,No me sentí identificado,-0.5,41.5,0
fisico,tienda_de_conveniencia,75.73,34.93,40.8,53.88,9,48,59,alta,39.79,0,6,No me sentí identificado,-0.5,39.5,0
fisico,ecommerce,86.3,45.94,40.36,46.77,2,99,21,alta,41.46,0,6,No me convence del todo,-0.5,39.5,0
fisico,ecommerce,84.11,38.84,45.27,53.82,7,10,61,media,35.91,0,4,Probablemente no lo volvería a usar,0.0,33.0,0
servicio,online,129.9,82.5,47.4,36.49,8,82,98,media,49.47,1,7,Lo volvería a elegir,0.5,63.5,1
digital,marketplace,141.7,67.69,74.01,52.23,3,49,25,baja,42.07,1,9,La experiencia fue muy positiva,0.5,73.5,1
servicio,online,161.97,84.27,77.7,47.97,1,64,58,alta,45.87,1,10,Lo volvería a elegir,0.5,84.5,1
servicio,hibrido,121.43,71.28,50.15,41.3,2,88,55,media,58.79,1,9,La experiencia fue muy positiva,0.5,77.5,1
servicio,online,202.93,129.95,72.98,35.96,7,87,90,media,43.66,1,9,Lo volvería a elegir,0.5,77.5,1
fisico,tienda_de_conveniencia,90.03,52.27,37.76,41.94,8,30,56,media,26.53,0,1,No conecté con este producto,-0.5,4.5,0
digital,web_saas,108.84,43.87,64.97,59.69,8,94,26,alta,38.55,0,5,No me sentí identificado,-0.5,30.5,0
digital,marketplace,97.31,66.01,31.3,32.17,7,24,57,media,30.2,0,6,No conecté con este producto,-0.5,37.5,0
digital,web_saas,177.41,85.95,91.46,51.55,3,30,25,media,26.38,0,3,No conecté con este producto,-0.5,16.5,0
servicio,hibrido,265.85,169.53,96.32,36.23,1,12,96,media,32.61,0,5,No conecté con este producto,-0.5,34.5,0
fisico,ecommerce,73.82,35.98,37.84,51.26,3,64,76,media,59.22,1,7,Me identifico con la marca,0.5,61.5,1
servicio,online,174.52,74.81,99.71,57.13,3,28,53,media,32.89,0,1,No conecté con este producto,-0.5,6.5,0
servicio,hibrido,235.58,111.1,124.48,52.84,8,86,75,baja,32.33,0,1,No me convence del todo,-0.5,6.5,0
fisico,retail,66.51,41.74,24.77,37.24,2,87,29,baja,47.32,1,9,La experiencia fue muy positiva,0.5,75.5,1
digital,marketplace,167.97,77.94,90.03,53.6,5,77,36,media,36.33,0,3,Probablemente no lo volvería a usar,0.0,24.0,0
fisico,tienda_de_conveniencia,79.22,48.62,30.6,38.63,1,90,36,media,57.95,1,10,Me identifico con la marca,0.5,82.5,1
digital,app_store,137.31,56.82,80.49,58.62,7,71,36,alta,40.08,0,3,La experiencia no fue lo que esperaba,-0.5,16.5,0
servicio,hibrido,219.58,95.32,124.26,56.59,8,51,48,alta,17.67,0,3,No me convence del todo,-0.5,20.5,0
fisico,tienda_de_conveniencia,89.75,38.48,51.27,57.13,1,54,97,media,47.6,1,10,Me encanta este producto,0.5,82.5,1
digital,app_store,115.65,73.16,42.49,36.74,4,20,28,media,24.01,0,6,Probablemente no lo volvería a usar,0.0,45.0,0
fisico,tienda_de_conveniencia,82.46,33.69,48.77,59.14,7,82,70,media,51.97,1,9,Lo volvería a elegir,0.5,75.5,1
fisico,ecommerce,89.18,62.07,27.11,30.4,9,66,51,media,37.02,0,4,No me convence del todo,-0.5,25.5,0
digital,marketplace,84.24,40.9,43.34,51.45,1,88,31,media,48.94,1,9,Lo volvería a elegir,0.5,73.5,1
digital,web_saas,154.18,73.23,80.95,52.5,8,74,21,media,33.9,0,5,No me convence del todo,-0.5,30.5,0
servicio,hibrido,224.78,139.73,85.05,37.84,10,57,52,baja,25.37,0,1,Probablemente no lo volvería a usar,0.0,14.0,0
fisico,tienda_de_conveniencia,83.77,46.62,37.15,44.35,6,40,58,alta,49.1,1,9,Me encanta este producto,0.5,75.5,1
digital,app_store,178.59,122.17,56.42,31.59,1,64,92,media,51.18,1,9,Me encanta este producto,0.5,73.5,1
digital,app_store,167.25,96.39,70.86,42.37,7,78,21,alta,42.13,1,8,Lo volvería a elegir,0.5,66.5,1
digital,app_store,158.91,83.59,75.32,47.4,9,49,92,media,38.05,0,1,La experiencia no fue lo que esperaba,-0.5,2.5,0
fisico,super,82.21,35.71,46.5,56.56,8,43,28,media,25.23,0,2,Probablemente no lo volvería a usar,0.0,19.0,0
digital,marketplace,184.22,113.22,71.0,38.54,4,39,65,baja,33.35,0,6,Probablemente no lo volvería a usar,0.0,45.0,0
fisico,ecommerce,72.04,50.07,21.97,30.5,9,39,94,media,50.82,1,9,Me encanta este producto,0.5,75.5,1
digital,web_saas,113.55,69.17,44.38,39.08,7,95,96,media,60.13,1,7,Lo volvería a elegir,0.5,59.5,0
digital,app_store,98.36,51.98,46.38,47.15,1,13,99,media,52.04,1,10,Me identifico con la marca,0.5,80.5,1
fisico,retail,94.46,46.2,48.26,51.09,4,29,78,baja,47.96,1,10,La experiencia fue muy positiva,0.5,82.5,1
servicio,presencial,244.23,100.23,144.0,58.96,9,21,48,media,16.4,0,2,La experiencia no fue lo que esperaba,-0.5,13.5,0
fisico,tienda_de_conveniencia,101.82,50.71,51.11,50.2,8,18,87,baja,40.93,0,5,La experiencia no fue lo que esperaba,-0.5,32.5,0
servicio,online,239.11,123.41,115.7,48.39,7,15,92,media,24.32,0,2,Probablemente no lo volvería a usar,0.0,21.0,0
servicio,presencial,214.16,146.67,67.49,31.51,6,11,66,baja,27.82,0,2,La experiencia no fue lo que esperaba,-0.5,13.5,0
digital,app_store,172.52,92.46,80.06,46.41,8,43,90,baja,41.46,0,4,La experiencia no fue lo que esperaba,-0.5,23.5,0
fisico,tienda_de_conveniencia,63.68,28.97,34.71,54.51,3,91,84,alta,75.63,1,7,Me encanta este producto,0.5,61.5,1
servicio,hibrido,180.41,115.82,64.59,35.8,2,86,48,alta,34.76,0,4,No conecté con este producto,-0.5,27.5,0
fisico,ecommerce,65.08,27.84,37.24,57.22,2,61,82,media,52.36,1,8,Se siente muy bien usarlo,0.5,68.5,1
servicio,presencial,288.64,183.99,104.65,36.26,6,46,52,media,25.47,0,4,No me sentí identificado,-0.5,27.5,0
fisico,super,92.48,63.95,28.53,30.85,8,81,37,alta,41.81,1,7,Me encanta este producto,0.5,61.5,1
servicio,presencial,148.01,98.41,49.6,33.51,2,82,84,alta,55.27,1,10,La experiencia fue muy positiva,0.5,84.5,1
digital,app_store,113.21,74.87,38.34,33.87,7,87,100,alta,60.52,1,7,Me encanta este producto,0.5,59.5,0
digital,web_saas,143.39,95.49,47.9,33.41,5,23,99,media,38.73,0,4,La experiencia no fue lo que esperaba,-0.5,23.5,0
fisico,ecommerce,68.32,38.32,30.0,43.91,4,17,42,media,27.01,0,6,Probablemente no lo volvería a usar,0.0,47.0,0
servicio,presencial,234.1,97.21,136.89,58.48,7,71,66,alta,28.28,0,1,No me sentí identificado,-0.5,6.5,0
servicio,hibrido,191.69,106.61,85.08,44.38,8,70,93,baja,44.48,1,8,Se siente muy bien usarlo,0.5,70.5,1
servicio,online,127.22,57.08,70.14,55.13,4,85,61,alta,56.03,1,7,Me encanta este producto,0.5,63.5,1
digital,app_store,125.71,68.76,56.95,45.3,4,83,42,alta,49.36,1,8,Me identifico con la marca,0.5,66.5,1
servicio,presencial,290.75,187.86,102.89,35.39,10,81,75,alta,31.56,0,3,No conecté con este producto,-0.5,20.5,0
fisico,tienda_de_conveniencia,95.09,41.36,53.73,56.5,5,29,43,media,28.65,0,6,No me sentí identificado,-0.5,39.5,0
servicio,online,269.92,161.21,108.71,40.27,6,84,87,alta,35.97,0,4,No me sentí identificado,-0.5,27.5,0
fisico,tienda_de_conveniencia,75.18,43.23,31.95,42.5,9,25,45,media,21.61,0,2,La experiencia no fue lo que esperaba,-0.5,11.5,0
servicio,online,135.16,80.63,54.53,40.34,8,49,81,media,35.38,0,2,Probablemente no lo volvería a usar,0.0,21.0,0
servicio,presencial,78.44,53.7,24.74,31.54,4,12,68,alta,35.61,0,4,No me convence del todo,-0.5,27.5,0
fisico,ecommerce,87.74,56.65,31.09,35.43,7,86,99,alta,56.25,1,8,Lo volvería a elegir,0.5,68.5,1
fisico,super,108.1,71.82,36.28,33.56,3,64,47,media,41.62,1,8,Lo volvería a elegir,0.5,68.5,1
fisico,ecommerce,73.78,47.18,26.6,36.05,6,11,92,alta,46.4,1,10,Se siente muy bien usarlo,0.5,82.5,1
digital,app_store,154.88,70.74,84.14,54.33,3,15,88,alta,45.3,1,9,Me encanta este producto,0.5,73.5,1
servicio,online,221.62,91.39,130.23,58.76,5,20,24,alta,13.79,0,1,Probablemente no lo volvería a usar,0.0,14.0,0
fisico,retail,57.71,29.65,28.06,48.62,1,52,24,media,42.94,1,8,Me encanta este producto,0.5,68.5,1
servicio,hibrido,196.44,118.72,77.72,39.56,3,40,74,media,32.53,0,5,La experiencia no fue lo que esperaba,-0.5,34.5,0
fisico,retail,65.17,26.39,38.78,59.51,3,38,81,media,53.59,1,7,Se siente muy bien usarlo,0.5,61.5,1
digital,app_store,119.88,55.17,64.71,53.98,2,49,63,baja,43.61,1,10,La experiencia fue muy positiva,0.5,80.5,1
servicio,hibrido,329.13,205.64,123.49,37.52,4,60,28,media,2.69,0,4,La experiencia no fue lo que esperaba,-0.5,27.5,0
digital,app_store,131.84,60.57,71.27,54.06,6,58,37,media,38.21,0,4,No conecté con este producto,-0.5,23.5,0
servicio,online,225.43,134.78,90.65,40.21,8,43,72,media,29.25,0,2,No me sentí identificado,-0.5,13.5,0
fisico,ecommerce,50.1,24.45,25.65,51.2,6,19,49,baja,39.77,0,1,No conecté con este producto,-0.5,4.5,0
fisico,retail,69.52,33.19,36.33,52.26,8,70,61,media,43.69,1,8,Me identifico con la marca,0.5,68.5,1
fisico,super,90.46,52.52,37.94,41.94,10,51,83,alta,53.79,1,10,La experiencia fue muy positiva,0.5,82.5,1
digital,marketplace,157.13,69.04,88.09,56.06,3,80,87,baja,54.54,1,7,La experiencia fue muy positiva,0.5,59.5,0
fisico,ecommerce,118.51,58.66,59.85,50.5,7,76,59,media,48.32,1,10,La experiencia fue muy positiva,0.5,82.5,1
fisico,tienda_de_conveniencia,115.73,74.6,41.13,35.54,3,92,42,baja,43.13,1,10,Me encanta este producto,0.5,82.5,1
fisico,tienda_de_conveniencia,30.58,16.46,14.12,46.17,3,13,97,alta,47.99,1,9,Me encanta este producto,0.5,75.5,1
digital,marketplace,195.64,108.07,87.57,44.76,10,29,30,baja,15.47,0,6,No me sentí identificado,-0.5,37.5,0
digital,app_store,206.64,110.83,95.81,46.37,7,26,85,alta,28.18,0,6,No me sentí identificado,-0.5,37.5,0
servicio,online,187.16,89.83,97.33,52.0,10,22,49,alta,20.61,0,5,No me convence del todo,-0.5,34.5,0
servicio,presencial,261.9,105.62,156.28,59.67,2,80,40,baja,39.4,0,1,No me convence del todo,-0.5,6.5,0
fisico,super,83.47,37.81,45.66,54.7,5,21,75,media,54.35,1,9,Me identifico con la marca,0.5,75.5,1
fisico,retail,87.67,54.22,33.45,38.15,8,60,35,alta,36.69,0,3,No me convence del todo,-0.5,18.5,0
fisico,tienda_de_conveniencia,72.09,39.11,32.98,45.75,4,92,51,alta,61.55,1,10,La experiencia fue muy positiva,0.5,82.5,1
fisico,super,58.13,38.21,19.92,34.27,5,79,61,media,57.03,1,9,Se siente muy bien usarlo,0.5,75.5,1
fisico,tienda_de_conveniencia,92.58,54.52,38.06,41.11,7,81,78,media,59.58,1,10,La experiencia fue muy positiva,0.5,82.5,1
digital,web_saas,196.45,126.07,70.38,35.83,3,69,85,alta,48.62,1,7,Lo volvería a elegir,0.5,59.5,0
digital,app_store,214.86,127.13,87.73,40.83,5,72,21,alta,29.87,0,1,Probablemente no lo volvería a usar,0.0,10.0,0
fisico,ecommerce,83.29,34.82,48.47,58.19,7,30,87,media,43.6,1,9,Me identifico con la marca,0.5,75.5,1
servicio,presencial,202.79,119.63,83.16,41.01,8,21,54,alta,23.16,0,6,No conecté con este producto,-0.5,41.5,0
digital,marketplace,204.85,83.05,121.8,59.46,7,39,57,media,22.5,0,5,Probablemente no lo volvería a usar,0.0,38.0,0
digital,marketplace,170.51,99.63,70.88,41.57,9,10,40,baja,14.43,0,5,No me sentí identificado,-0.5,30.5,0
fisico,retail,110.21,59.8,50.41,45.74,3,29,93,alta,47.72,1,7,Se siente muy bien usarlo,0.5,61.5,1
digital,marketplace,128.35,51.77,76.58,59.66,9,79,31,alta,40.51,0,5,La experiencia no fue lo que esperaba,-0.5,30.5,0
servicio,online,119.86,71.73,48.13,40.16,10,97,25,media,35.3,0,2,La experiencia no fue lo que esperaba,-0.5,13.5,0
servicio,hibrido,206.49,120.04,86.45,41.87,3,14,42,baja,11.7,0,3,No conecté con este producto,-0.5,20.5,0
servicio,online,203.46,116.25,87.21,42.86,4,57,77,media,33.54,0,4,No me sentí identificado,-0.5,27.5,0
digital,app_store,143.96,81.13,62.83,43.64,1,58,69,media,49.72,1,8,La experiencia fue muy positiva,0.5,66.5,1
digital,marketplace,206.47,138.68,67.79,32.83,6,41,76,alta,28.53,0,5,No conecté con este producto,-0.5,30.5,0
fisico,ecommerce,73.44,46.49,26.95,36.7,10,51,22,media,28.51,0,6,No me convence del todo,-0.5,39.5,0
servicio,hibrido,108.85,66.98,41.87,38.47,3,68,44,baja,47.02,1,8,Me identifico con la marca,0.5,70.5,1
digital,web_saas,176.37,121.15,55.22,31.31,6,93,97,alta,50.84,1,9,Me encanta este producto,0.5,73.5,1
servicio,online,168.03,77.36,90.67,53.96,10,21,57,baja,20.5,0,2,No conecté con este producto,-0.5,13.5,0
digital,web_saas,160.43,100.28,60.15,37.49,10,80,42,baja,32.77,0,5,No me convence del todo,-0.5,30.5,0
digital,app_store,142.36,57.27,85.09,59.77,10,73,24,media,32.21,0,6,No me convence del todo,-0.5,37.5,0
digital,app_store,129.17,83.8,45.37,35.12,5,81,37,media,39.23,0,4,No me sentí identificado,-0.5,23.5,0
digital,app_store,97.19,49.58,47.61,48.99,10,23,55,alta,32.1,0,5,No conecté con este producto,-0.5,30.5,0
digital,web_saas,99.3,48.2,51.1,51.46,10,14,24,alta,22.18,0,3,No conecté con este producto,-0.5,16.5,0
fisico,ecommerce,66.55,37.23,29.32,44.06,4,90,59,media,66.55,1,9,Lo volvería a elegir,0.5,75.5,1
servicio,hibrido,164.15,78.42,85.73,52.23,6,36,99,alta,39.01,0,4,No conecté con este producto,-0.5,27.5,0
fisico,tienda_de_conveniencia,85.43,55.76,29.67,34.73,7,68,93,media,56.02,1,7,La experiencia fue muy positiva,0.5,61.5,1
servicio,online,192.27,91.16,101.11,52.59,3,35,65,alta,31.85,0,2,No conecté con este producto,-0.5,13.5,0
digital,marketplace,173.25,79.84,93.41,53.92,8,38,57,baja,30.31,0,5,No conecté con este producto,-0.5,30.5,0
digital,marketplace,85.0,34.88,50.12,58.96,2,24,39,baja,29.33,0,4,No me convence del todo,-0.5,23.5,0
servicio,online,103.25,43.13,60.12,58.23,7,35,85,baja,45.7,1,8,La experiencia fue muy positiva,0.5,70.5,1
digital,marketplace,151.62,103.9,47.72,31.47,3,42,87,media,37.51,0,1,La experiencia no fue lo que esperaba,-0.5,2.5,0
digital,web_saas,196.35,97.93,98.42,50.12,7,31,92,media,35.05,0,3,No conecté con este producto,-0.5,16.5,0
servicio,hibrido,123.74,76.05,47.69,38.54,8,20,46,alta,28.48,0,3,Probablemente no lo volvería a usar,0.0,28.0,0
digital,marketplace,154.37,77.01,77.36,50.11,6,80,44,alta,48.14,1,8,La experiencia fue muy positiva,0.5,66.5,1
digital,marketplace,58.88,40.33,18.55,31.5,8,76,87,baja,48.19,1,7,Lo volvería a elegir,0.5,59.5,0
fisico,retail,62.08,27.08,35.0,56.38,4,31,48,baja,38.79,0,5,Probablemente no lo volvería a usar,0.0,40.0,0
digital,marketplace,157.44,79.42,78.02,49.56,2,90,88,media,67.46,1,9,Me encanta este producto,0.5,73.5,1
fisico,retail,70.68,44.81,25.87,36.6,10,64,52,alta,42.64,1,7,Me identifico con la marca,0.5,61.5,1
servicio,hibrido,190.55,76.92,113.63,59.63,3,68,40,baja,40.05,0,1,No conecté con este producto,-0.5,6.5,0
servicio,online,190.34,93.14,97.2,51.07,8,89,89,baja,60.58,1,10,La experiencia fue muy positiva,0.5,84.5,1
servicio,online,175.98,117.77,58.21,33.08,1,28,93,media,39.22,0,1,No me convence del todo,-0.5,6.5,0
servicio,online,231.19,158.76,72.43,31.33,3,93,90,media,52.64,1,10,Lo volvería a elegir,0.5,84.5,1
digital,marketplace,157.92,103.65,54.27,34.37,3,62,56,alta,45.25,1,9,Me encanta este producto,0.5,73.5,1
digital,marketplace,87.18,58.19,28.99,33.25,3,15,96,media,48.57,1,10,Lo volvería a elegir,0.5,80.5,1
digital,marketplace,196.17,128.0,68.17,34.75,5,15,50,baja,14.64,0,2,No me convence del todo,-0.5,9.5,0
servicio,presencial,165.77,99.67,66.1,39.87,7,73,39,alta,41.68,1,9,Me encanta este producto,0.5,77.5,1
servicio,hibrido,258.24,177.0,81.24,31.46,1,32,77,alta,34.58,0,3,No me sentí identificado,-0.5,20.5,0
servicio,online,310.49,193.81,116.68,37.58,5,78,92,media,36.99,0,4,La experiencia no fue lo que esperaba,-0.5,27.5,0
