marca,categoria,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta,score_latente,exito
HoneyOats,cereal,marketplace,85.09,49.84,35.25,41.43,6,63,52,baja,6,"Está bien, cumple",0,47.0,0,-13.03,0
GoldenGrain,cereal,retail,129.85,71.9,57.95,44.63,10,62,63,baja,5,Podría mejorar,0,40.0,0,-31.37,0
FitMorning,cereal,retail,115.8,63.87,51.93,44.84,7,57,77,baja,5,Podría mejorar,0,40.0,0,-7.18,0
CerealNova,cereal,marketplace,103.4,62.62,40.78,39.44,4,71,51,alta,6,Nada extraordinario,0,47.0,0,31.62,1
FiberPlus,cereal,marketplace,132.99,77.87,55.12,41.45,7,46,69,media,7,Nada extraordinario,0,54.0,0,2.66,0
VitalMix,cereal,marketplace,99.82,58.06,41.76,41.84,10,64,65,media,5,Es un cereal promedio,0,40.0,0,-17.65,0
CerealNova,cereal,retail,46.14,25.52,20.62,44.69,7,76,59,media,8,Me encanta el sabor y la textura,1,76.0,1,24.35,1
FitMorning,cereal,retail,108.11,75.03,33.08,30.6,6,77,53,alta,4,Se me hizo caro,-1,18.0,0,7.52,0
HoneyOats,cereal,retail,44.64,30.23,14.41,32.28,7,79,55,alta,6,Nada extraordinario,0,47.0,0,11.54,1
GoldenGrain,cereal,retail,141.36,83.11,58.25,41.21,6,48,38,baja,5,Podría mejorar,0,40.0,0,-7.5,0
KidsStar,cereal,retail,92.16,61.28,30.88,33.51,6,72,49,media,6,Nada extraordinario,0,47.0,0,4.7,0
CrunchMax,cereal,marketplace,82.17,53.57,28.6,34.81,5,73,36,media,7,Nada extraordinario,0,54.0,0,31.69,1
GoldenGrain,cereal,marketplace,120.99,73.14,47.85,39.55,9,73,76,alta,6,Solo lo compraría en promoción,0,47.0,0,-1.22,0
FitMorning,cereal,retail,116.83,70.0,46.83,40.08,9,69,53,media,5,Solo lo compraría en promoción,0,40.0,0,-11.02,0
FitMorning,cereal,retail,99.57,67.29,32.28,32.42,7,65,56,baja,6,Es un cereal promedio,0,47.0,0,13.89,1
CerealNova,cereal,retail,61.72,29.75,31.97,51.8,5,76,61,baja,7,Podría mejorar,0,54.0,0,20.09,1
KidsStar,cereal,marketplace,97.85,54.45,43.4,44.35,6,74,47,media,7,"Está bien, cumple",0,54.0,0,8.52,0
GoldenGrain,cereal,retail,63.36,36.26,27.1,42.77,6,93,76,alta,8,Se siente de buena calidad,1,76.0,1,35.07,1
CerealNova,cereal,marketplace,75.64,53.93,21.71,28.7,5,70,46,media,7,Nada extraordinario,0,54.0,0,12.72,1
GoldenGrain,cereal,retail,95.8,52.09,43.71,45.63,7,59,48,media,5,Nada extraordinario,0,40.0,0,8.66,0
CornCrisp,cereal,retail,71.17,49.75,21.42,30.1,6,75,48,media,8,Me encanta el sabor y la textura,1,76.0,1,10.27,0
CerealNova,cereal,retail,83.38,45.39,37.99,45.56,8,72,39,media,5,Es un cereal promedio,0,40.0,0,1.91,0
CerealNova,cereal,retail,64.81,41.86,22.95,35.41,5,84,55,media,8,Me identifico con esta marca,1,76.0,1,31.4,1
FiberPlus,cereal,retail,109.83,64.78,45.05,41.02,8,50,61,media,6,Podría mejorar,0,47.0,0,-17.71,0
KidsStar,cereal,marketplace,95.96,49.83,46.13,48.07,5,64,42,baja,7,"Está bien, cumple",0,54.0,0,1.12,0
ChocoBoom,cereal,retail,76.58,36.34,40.24,52.55,7,91,52,media,7,Podría mejorar,0,54.0,0,12.57,1
CornCrisp,cereal,retail,92.77,44.9,47.87,51.6,9,74,68,alta,7,Podría mejorar,0,54.0,0,9.66,0
FiberPlus,cereal,retail,85.64,41.47,44.17,51.58,7,88,80,alta,7,Podría mejorar,0,54.0,0,29.01,1
CornCrisp,cereal,retail,73.86,43.63,30.23,40.93,8,74,47,media,7,"Está bien, cumple",0,54.0,0,8.86,0
KidsStar,cereal,retail,89.32,42.9,46.42,51.97,7,72,56,media,6,Es un cereal promedio,0,47.0,0,7.92,0
CrunchMax,cereal,retail,35.0,17.98,17.02,48.63,4,86,46,baja,8,Excelente relación calidad-precio,1,76.0,1,32.04,1
CornCrisp,cereal,retail,80.91,54.83,26.08,32.23,5,65,44,alta,6,Es un cereal promedio,0,47.0,0,21.44,1
FitMorning,cereal,retail,108.9,61.6,47.3,43.43,8,67,50,alta,8,Me gusta mucho esta marca,1,76.0,1,11.74,1
FiberPlus,cereal,retail,132.57,75.76,56.81,42.85,7,64,72,media,5,Nada extraordinario,0,40.0,0,15.07,1
CerealNova,cereal,retail,90.46,59.73,30.73,33.97,7,83,62,media,7,Solo lo compraría en promoción,0,54.0,0,7.91,0
GoldenGrain,cereal,marketplace,121.73,81.2,40.53,33.29,8,57,65,baja,8,Se siente de buena calidad,1,76.0,1,4.75,0
CornCrisp,cereal,retail,81.21,36.96,44.25,54.49,7,74,41,media,4,No me gustó el sabor,-1,18.0,0,-1.02,0
CrunchMax,cereal,retail,79.54,46.01,33.53,42.15,7,92,61,alta,6,Es un cereal promedio,0,47.0,0,40.59,1
FiberPlus,cereal,retail,102.44,65.46,36.98,36.1,10,58,60,media,5,"Está bien, cumple",0,40.0,0,-9.12,0
CerealNova,cereal,marketplace,112.04,69.56,42.48,37.92,5,66,44,alta,4,No me gustó el sabor,-1,18.0,0,8.99,0
GoldenGrain,cereal,retail,98.63,57.22,41.41,41.99,4,71,66,media,6,Podría mejorar,0,47.0,0,28.6,1
CornCrisp,cereal,marketplace,102.24,71.8,30.44,29.77,8,72,38,media,7,Es un cereal promedio,0,54.0,0,7.04,0
HoneyOats,cereal,marketplace,65.72,39.76,25.96,39.5,7,70,54,media,7,Podría mejorar,0,54.0,0,8.82,0
GoldenGrain,cereal,retail,161.85,93.86,67.99,42.01,6,67,55,media,3,No conecté con la marca,-1,11.0,0,2.75,0
CerealNova,cereal,retail,82.7,43.18,39.52,47.79,7,70,48,media,6,"Está bien, cumple",0,47.0,0,-4.24,0
CornCrisp,cereal,marketplace,71.38,41.51,29.87,41.85,8,78,72,alta,7,"Está bien, cumple",0,54.0,0,2.01,0
FiberPlus,cereal,retail,123.68,64.01,59.67,48.25,6,65,66,media,8,Se siente de buena calidad,1,76.0,1,15.79,1
CornCrisp,cereal,retail,103.29,47.34,55.95,54.17,9,57,62,baja,7,Nada extraordinario,0,54.0,0,-8.01,0
VitalMix,cereal,retail,111.76,59.9,51.86,46.4,9,71,77,media,6,"Está bien, cumple",0,47.0,0,0.65,0
FiberPlus,cereal,marketplace,136.78,82.95,53.83,39.36,7,65,56,alta,6,Es un cereal promedio,0,47.0,0,3.66,0
CerealNova,cereal,retail,107.55,70.01,37.54,34.9,5,62,40,baja,6,Podría mejorar,0,47.0,0,10.46,0
KidsStar,cereal,retail,48.48,27.38,21.1,43.52,6,71,62,baja,7,Podría mejorar,0,54.0,0,13.13,1
HoneyOats,cereal,marketplace,65.13,44.37,20.76,31.87,10,50,44,baja,6,Nada extraordinario,0,47.0,0,-17.0,0
FitMorning,cereal,retail,110.4,72.9,37.5,33.97,9,70,73,baja,6,"Está bien, cumple",0,47.0,0,-5.47,0
GoldenGrain,cereal,retail,112.59,72.99,39.6,35.17,10,47,63,media,7,Solo lo compraría en promoción,0,54.0,0,-20.66,0
FiberPlus,cereal,retail,123.26,58.09,65.17,52.87,4,52,68,baja,6,Podría mejorar,0,47.0,0,13.96,1
FitMorning,cereal,retail,115.2,64.09,51.11,44.37,9,51,79,media,7,Podría mejorar,0,54.0,0,-3.11,0
KidsStar,cereal,retail,52.91,34.94,17.97,33.96,8,79,41,media,9,Me gusta mucho esta marca,1,83.0,1,22.99,1
GoldenGrain,cereal,retail,129.9,61.11,68.79,52.96,7,48,41,media,6,Solo lo compraría en promoción,0,47.0,0,-7.3,0
KidsStar,cereal,retail,60.92,30.56,30.36,49.84,7,79,64,media,7,Es un cereal promedio,0,54.0,0,27.08,1
FitMorning,cereal,retail,80.68,39.1,41.58,51.54,10,77,71,media,8,Me gusta mucho esta marca,1,76.0,1,6.07,0
FitMorning,cereal,marketplace,104.08,52.55,51.53,49.51,7,71,73,media,5,"Está bien, cumple",0,40.0,0,20.52,1
FitMorning,cereal,marketplace,104.29,73.25,31.04,29.76,8,65,70,media,5,"Está bien, cumple",0,40.0,0,5.53,0
CornCrisp,cereal,retail,63.35,37.75,25.6,40.41,5,61,56,media,7,Podría mejorar,0,54.0,0,26.97,1
ChocoBoom,cereal,retail,96.0,44.16,51.84,54.0,7,61,59,baja,8,Me gusta mucho esta marca,1,76.0,1,1.14,0
VitalMix,cereal,retail,109.2,51.24,57.96,53.08,5,51,62,media,6,Solo lo compraría en promoción,0,47.0,0,18.39,1
KidsStar,cereal,retail,93.49,57.29,36.2,38.72,4,73,49,media,8,Me identifico con esta marca,1,76.0,1,19.52,1
FiberPlus,cereal,retail,126.2,81.28,44.92,35.59,5,34,81,baja,6,"Está bien, cumple",0,47.0,0,0.88,0
ChocoBoom,cereal,retail,54.17,29.74,24.43,45.1,10,81,71,media,9,Se siente de buena calidad,1,83.0,1,8.41,0
CerealNova,cereal,marketplace,65.5,45.22,20.28,30.96,9,73,66,media,7,Nada extraordinario,0,54.0,0,-0.39,0
GoldenGrain,cereal,retail,108.89,54.35,54.54,50.09,6,64,56,media,7,"Está bien, cumple",0,54.0,0,9.99,0
FiberPlus,cereal,retail,100.03,64.97,35.06,35.05,9,70,75,media,6,Podría mejorar,0,47.0,0,-2.49,0
FiberPlus,cereal,retail,76.97,44.55,32.42,42.12,7,78,74,alta,5,Es un cereal promedio,0,40.0,0,22.78,1
CornCrisp,cereal,retail,85.02,44.13,40.89,48.09,10,64,45,baja,7,Nada extraordinario,0,54.0,0,-21.58,0
KidsStar,cereal,retail,74.59,39.8,34.79,46.64,7,82,42,media,8,Me identifico con esta marca,1,76.0,1,22.06,1
ChocoBoom,cereal,retail,72.46,33.1,39.36,54.32,6,71,75,baja,7,Nada extraordinario,0,54.0,0,13.94,1
KidsStar,cereal,retail,86.63,53.4,33.23,38.36,8,75,54,media,7,Nada extraordinario,0,54.0,0,0.16,0
CerealNova,cereal,marketplace,80.83,46.48,34.35,42.5,6,61,47,baja,7,"Está bien, cumple",0,54.0,0,-3.35,0
ChocoBoom,cereal,marketplace,105.58,60.3,45.28,42.89,9,70,57,media,8,Me encanta el sabor y la textura,1,76.0,1,3.26,0
FitMorning,cereal,marketplace,103.8,66.09,37.71,36.33,7,73,85,media,7,Nada extraordinario,0,54.0,0,11.25,1
ChocoBoom,cereal,retail,54.61,35.27,19.34,35.41,6,72,62,media,7,Podría mejorar,0,54.0,0,24.02,1
FitMorning,cereal,retail,80.45,37.36,43.09,53.56,8,74,66,baja,6,Es un cereal promedio,0,47.0,0,4.16,0
CrunchMax,cereal,retail,49.97,26.72,23.25,46.53,9,99,73,alta,8,Me encanta el sabor y la textura,1,76.0,1,22.86,1
HoneyOats,cereal,retail,75.07,34.04,41.03,54.66,7,75,51,media,7,"Está bien, cumple",0,54.0,0,17.35,1
CrunchMax,cereal,marketplace,85.21,61.18,24.03,28.2,5,70,48,media,6,Es un cereal promedio,0,47.0,0,21.1,1
VitalMix,cereal,marketplace,174.88,91.17,83.71,47.87,7,44,68,media,6,Solo lo compraría en promoción,0,47.0,0,-5.63,0
CornCrisp,cereal,marketplace,99.46,58.11,41.35,41.57,9,80,66,alta,5,"Está bien, cumple",0,40.0,0,2.39,0
CornCrisp,cereal,retail,119.28,74.57,44.71,37.48,4,80,64,alta,5,Nada extraordinario,0,40.0,0,44.96,1
CerealNova,cereal,retail,83.51,45.19,38.32,45.89,6,55,58,media,9,Me encanta el sabor y la textura,1,83.0,1,11.72,1
FiberPlus,cereal,marketplace,128.56,77.87,50.69,39.43,7,72,74,media,8,Me identifico con esta marca,1,76.0,1,-0.12,0
GoldenGrain,cereal,retail,100.83,51.88,48.95,48.55,7,69,71,media,8,Se siente de buena calidad,1,76.0,1,13.7,1
CrunchMax,cereal,marketplace,60.61,35.24,25.37,41.86,6,72,60,baja,6,Es un cereal promedio,0,47.0,0,5.65,0
VitalMix,cereal,marketplace,98.35,64.84,33.51,34.07,3,94,67,media,8,Se siente de buena calidad,1,76.0,1,52.57,1
HoneyOats,cereal,marketplace,70.29,45.63,24.66,35.08,6,86,48,alta,4,No lo volvería a comprar,-1,18.0,0,10.0,0
CrunchMax,cereal,retail,78.65,52.96,25.69,32.66,6,76,48,media,5,Podría mejorar,0,40.0,0,11.79,1
KidsStar,cereal,marketplace,88.31,62.82,25.49,28.86,7,83,72,media,7,Solo lo compraría en promoción,0,54.0,0,16.78,1
HoneyOats,cereal,marketplace,65.17,38.37,26.8,41.12,7,100,58,alta,8,Me encanta el sabor y la textura,1,76.0,1,26.19,1
ChocoBoom,cereal,retail,79.51,51.91,27.6,34.71,10,72,54,baja,8,Me identifico con esta marca,1,76.0,1,-22.24,0
VitalMix,cereal,retail,109.78,58.54,51.24,46.68,5,62,74,media,7,Es un cereal promedio,0,54.0,0,18.78,1
CornCrisp,cereal,retail,85.15,48.22,36.93,43.37,9,53,38,baja,6,Es un cereal promedio,0,47.0,0,-14.43,0
FiberPlus,cereal,retail,102.57,66.31,36.26,35.35,8,67,58,media,5,"Está bien, cumple",0,40.0,0,-4.89,0
CornCrisp,cereal,retail,92.72,56.98,35.74,38.55,6,69,44,media,6,Es un cereal promedio,0,47.0,0,15.07,1
GoldenGrain,cereal,retail,95.44,46.68,48.76,51.09,7,85,41,media,7,Es un cereal promedio,0,54.0,0,8.86,0
CrunchMax,cereal,marketplace,93.84,54.04,39.8,42.41,6,57,48,media,4,No conecté con la marca,-1,18.0,0,-4.17,0
FitMorning,cereal,retail,116.27,64.54,51.73,44.49,9,49,61,media,5,Es un cereal promedio,0,40.0,0,-19.04,0
CerealNova,cereal,retail,35.0,16.91,18.09,51.69,8,79,68,baja,4,No me gustó el sabor,-1,18.0,0,-5.99,0
CrunchMax,cereal,retail,79.74,50.21,29.53,37.03,8,81,46,alta,6,Podría mejorar,0,47.0,0,1.21,0
CerealNova,cereal,retail,67.41,43.23,24.18,35.87,8,80,63,media,7,Es un cereal promedio,0,54.0,0,11.78,1
CornCrisp,cereal,marketplace,75.22,51.33,23.89,31.76,8,74,53,alta,8,Me identifico con esta marca,1,76.0,1,5.98,0
FiberPlus,cereal,marketplace,138.99,72.44,66.55,47.88,7,67,49,alta,4,No lo volvería a comprar,-1,18.0,0,5.41,0
VitalMix,cereal,retail,111.57,51.87,59.7,53.51,5,60,63,media,5,Nada extraordinario,0,40.0,0,18.75,1
CrunchMax,cereal,retail,103.98,52.14,51.84,49.86,10,62,38,baja,4,Se me hizo caro,-1,18.0,0,-39.78,0
FitMorning,cereal,retail,125.25,72.84,52.41,41.84,6,88,63,alta,7,Solo lo compraría en promoción,0,54.0,0,27.21,1
VitalMix,cereal,retail,95.51,45.44,50.07,52.42,9,61,68,media,6,Nada extraordinario,0,47.0,0,2.58,0
ChocoBoom,cereal,retail,93.83,53.17,40.66,43.33,7,83,58,alta,6,Solo lo compraría en promoción,0,47.0,0,18.75,1
CornCrisp,cereal,retail,114.6,63.28,51.32,44.78,6,53,39,media,4,No me convence el producto,-1,18.0,0,-2.85,0
ChocoBoom,cereal,retail,98.72,59.78,38.94,39.44,9,87,54,alta,7,Es un cereal promedio,0,54.0,0,10.97,1
ChocoBoom,cereal,retail,104.88,56.11,48.77,46.5,9,79,51,alta,7,Nada extraordinario,0,54.0,0,7.23,0
CornCrisp,cereal,retail,71.65,40.85,30.8,42.99,7,70,54,baja,7,Nada extraordinario,0,54.0,0,3.93,0
ChocoBoom,cereal,retail,76.2,41.29,34.91,45.81,6,75,50,media,4,No me gustó el sabor,-1,18.0,0,9.97,0
CerealNova,cereal,marketplace,91.21,63.51,27.7,30.37,7,68,50,media,7,Nada extraordinario,0,54.0,0,4.38,0
VitalMix,cereal,retail,104.15,53.62,50.53,48.52,4,59,67,media,6,Nada extraordinario,0,47.0,0,24.54,1
VitalMix,cereal,retail,149.05,87.12,61.93,41.55,4,42,65,media,5,Solo lo compraría en promoción,0,40.0,0,11.31,1
ChocoBoom,cereal,retail,57.27,38.99,18.28,31.92,9,76,61,baja,7,Podría mejorar,0,54.0,0,3.92,0
CerealNova,cereal,retail,104.35,68.21,36.14,34.63,9,62,74,media,7,Podría mejorar,0,54.0,0,-2.56,0
VitalMix,cereal,retail,115.23,71.1,44.13,38.3,8,64,41,media,5,Podría mejorar,0,40.0,0,-22.74,0
FitMorning,cereal,retail,99.6,53.59,46.01,46.19,5,75,73,alta,7,Es un cereal promedio,0,54.0,0,31.12,1
KidsStar,cereal,marketplace,114.28,73.85,40.43,35.38,5,76,41,alta,5,Podría mejorar,0,40.0,0,9.42,0
FitMorning,cereal,retail,89.05,61.16,27.89,31.32,9,66,66,media,7,Nada extraordinario,0,54.0,0,-1.04,0
CornCrisp,cereal,retail,78.94,36.3,42.64,54.02,7,72,62,media,6,Es un cereal promedio,0,47.0,0,4.24,0
KidsStar,cereal,marketplace,57.4,37.49,19.91,34.69,8,62,49,baja,7,Es un cereal promedio,0,54.0,0,-6.56,0
ChocoBoom,cereal,marketplace,67.12,43.97,23.15,34.49,8,88,67,alta,6,Nada extraordinario,0,47.0,0,6.54,0
KidsStar,cereal,marketplace,90.05,60.12,29.93,33.24,9,78,69,alta,7,"Está bien, cumple",0,54.0,0,9.55,0
FitMorning,cereal,retail,77.05,49.15,27.9,36.21,6,68,93,media,8,Me gusta mucho esta marca,1,76.0,1,19.53,1
VitalMix,cereal,retail,92.5,58.69,33.81,36.55,5,76,78,alta,7,"Está bien, cumple",0,54.0,0,25.11,1
CerealNova,cereal,marketplace,35.0,17.67,17.33,49.51,8,96,68,media,7,Es un cereal promedio,0,54.0,0,22.99,1
HoneyOats,cereal,retail,76.73,36.4,40.33,52.56,6,84,29,alta,6,Nada extraordinario,0,47.0,0,7.12,0
FitMorning,cereal,retail,97.92,52.77,45.15,46.11,9,69,60,media,7,Nada extraordinario,0,54.0,0,2.08,0
GoldenGrain,cereal,marketplace,154.19,102.36,51.83,33.61,7,61,32,alta,5,Solo lo compraría en promoción,0,40.0,0,-3.57,0
CornCrisp,cereal,marketplace,80.13,44.68,35.45,44.24,8,88,45,media,6,Solo lo compraría en promoción,0,47.0,0,13.09,1
HoneyOats,cereal,retail,95.53,53.47,42.06,44.03,3,77,57,alta,6,"Está bien, cumple",0,47.0,0,32.09,1
CornCrisp,cereal,retail,85.98,49.52,36.46,42.41,8,70,53,media,5,"Está bien, cumple",0,40.0,0,4.2,0
ChocoBoom,cereal,retail,110.35,56.61,53.74,48.7,7,74,71,media,6,Podría mejorar,0,47.0,0,13.21,1
FitMorning,cereal,retail,97.06,64.33,32.73,33.72,9,76,90,media,7,"Está bien, cumple",0,54.0,0,-2.23,0
VitalMix,cereal,retail,135.64,91.3,44.34,32.69,7,60,70,baja,9,Se siente de buena calidad,1,83.0,1,1.19,0
FitMorning,cereal,retail,110.85,61.26,49.59,44.74,9,72,59,media,8,Me identifico con esta marca,1,76.0,1,11.64,1
VitalMix,cereal,retail,108.08,63.15,44.93,41.57,8,57,70,media,6,Solo lo compraría en promoción,0,47.0,0,5.09,0
VitalMix,cereal,retail,103.63,56.19,47.44,45.78,7,66,48,media,5,Solo lo compraría en promoción,0,40.0,0,2.09,0
GoldenGrain,cereal,retail,98.9,61.66,37.24,37.65,6,63,58,baja,7,Podría mejorar,0,54.0,0,5.73,0
CrunchMax,cereal,marketplace,82.42,59.54,22.88,27.76,6,76,51,media,6,Solo lo compraría en promoción,0,47.0,0,5.79,0
KidsStar,cereal,retail,66.7,38.96,27.74,41.59,7,61,54,baja,7,Solo lo compraría en promoción,0,54.0,0,6.34,0
ChocoBoom,cereal,retail,90.54,43.81,46.73,51.61,7,44,49,baja,7,Solo lo compraría en promoción,0,54.0,0,2.41,0
GoldenGrain,cereal,retail,127.83,85.25,42.58,33.31,8,40,51,baja,5,Nada extraordinario,0,40.0,0,-25.02,0
CornCrisp,cereal,marketplace,116.41,74.54,41.87,35.97,5,54,60,media,7,"Está bien, cumple",0,54.0,0,20.35,1
ChocoBoom,cereal,retail,89.85,48.37,41.48,46.17,9,74,76,media,10,Me encanta el sabor y la textura,1,90.0,1,6.66,0
GoldenGrain,cereal,retail,141.84,73.37,68.47,48.27,8,55,29,media,4,No me convence el producto,-1,18.0,0,-23.11,0
HoneyOats,cereal,retail,77.15,36.9,40.25,52.17,8,87,41,alta,4,No conecté con la marca,-1,18.0,0,11.3,1
FiberPlus,cereal,retail,117.26,56.08,61.18,52.17,6,52,69,media,9,Se siente de buena calidad,1,83.0,1,13.52,1
GoldenGrain,cereal,retail,113.99,79.11,34.88,30.6,8,65,51,baja,5,Nada extraordinario,0,40.0,0,-14.89,0
FiberPlus,cereal,marketplace,101.64,71.72,29.92,29.44,6,75,73,media,8,Me encanta el sabor y la textura,1,76.0,1,20.15,1
CornCrisp,cereal,retail,64.83,38.52,26.31,40.58,10,81,57,media,6,"Está bien, cumple",0,47.0,0,-9.52,0
CerealNova,cereal,retail,77.9,38.45,39.45,50.64,7,56,83,baja,8,Me gusta mucho esta marca,1,76.0,1,21.75,1
GoldenGrain,cereal,retail,103.27,68.34,34.93,33.82,3,71,42,media,6,Es un cereal promedio,0,47.0,0,27.7,1
FitMorning,cereal,marketplace,90.89,58.21,32.68,35.96,7,69,43,media,6,Nada extraordinario,0,47.0,0,3.15,0
HoneyOats,cereal,retail,103.54,70.54,33.0,31.87,5,77,47,alta,6,"Está bien, cumple",0,47.0,0,18.96,1
CornCrisp,cereal,retail,87.89,52.02,35.87,40.81,10,65,55,media,5,Nada extraordinario,0,40.0,0,-15.89,0
GoldenGrain,cereal,retail,155.06,79.03,76.03,49.03,6,50,58,media,6,"Está bien, cumple",0,47.0,0,3.85,0
FitMorning,cereal,marketplace,110.42,77.55,32.87,29.77,8,62,48,baja,5,Podría mejorar,0,40.0,0,-20.29,0
FitMorning,cereal,marketplace,77.03,43.96,33.07,42.93,10,75,71,alta,7,Podría mejorar,0,54.0,0,-6.99,0
ChocoBoom,cereal,retail,72.92,37.42,35.5,48.68,8,77,76,baja,9,Se siente de buena calidad,1,83.0,1,12.42,1
CrunchMax,cereal,retail,85.34,38.86,46.48,54.46,7,70,62,media,7,Es un cereal promedio,0,54.0,0,18.21,1
CrunchMax,cereal,marketplace,82.19,55.22,26.97,32.81,10,63,32,media,5,Nada extraordinario,0,40.0,0,-23.84,0
HoneyOats,cereal,retail,89.8,48.13,41.67,46.4,4,72,51,media,7,"Está bien, cumple",0,54.0,0,17.5,1
GoldenGrain,cereal,retail,54.32,31.91,22.41,41.26,8,100,66,alta,7,Es un cereal promedio,0,54.0,0,18.54,1
CerealNova,cereal,marketplace,44.32,31.8,12.52,28.25,7,88,73,media,7,Es un cereal promedio,0,54.0,0,29.53,1
KidsStar,cereal,retail,82.66,38.81,43.85,53.05,7,89,47,alta,6,Nada extraordinario,0,47.0,0,18.01,1
FiberPlus,cereal,retail,109.45,75.79,33.66,30.75,5,70,53,media,7,Es un cereal promedio,0,54.0,0,11.35,1
GoldenGrain,cereal,retail,89.56,47.24,42.32,47.25,5,61,72,media,8,Se siente de buena calidad,1,76.0,1,28.54,1
VitalMix,cereal,retail,122.8,66.33,56.47,45.99,5,67,60,media,5,Es un cereal promedio,0,40.0,0,13.54,1
FitMorning,cereal,retail,91.1,50.44,40.66,44.63,6,64,83,media,8,Me gusta mucho esta marca,1,76.0,1,28.23,1
CornCrisp,cereal,retail,74.63,40.93,33.7,45.16,8,81,53,alta,6,"Está bien, cumple",0,47.0,0,7.88,0
HoneyOats,cereal,retail,50.86,27.38,23.48,46.17,5,71,62,baja,6,Es un cereal promedio,0,47.0,0,26.58,1
CerealNova,cereal,retail,76.74,49.41,27.33,35.61,7,58,60,baja,6,Podría mejorar,0,47.0,0,-0.59,0
FiberPlus,cereal,retail,126.7,57.14,69.56,54.9,5,66,72,baja,6,"Está bien, cumple",0,47.0,0,19.26,1
HoneyOats,cereal,retail,73.03,34.3,38.73,53.03,6,61,37,media,5,Nada extraordinario,0,40.0,0,4.87,0
ChocoBoom,cereal,retail,123.66,85.04,38.62,31.23,6,75,81,alta,6,Nada extraordinario,0,47.0,0,26.2,1
FitMorning,cereal,retail,93.27,45.33,47.94,51.4,9,49,58,media,7,"Está bien, cumple",0,54.0,0,-0.56,0
CornCrisp,cereal,marketplace,94.23,65.59,28.64,30.39,5,54,52,media,6,"Está bien, cumple",0,47.0,0,12.75,1
VitalMix,cereal,retail,135.93,76.56,59.37,43.68,9,53,68,baja,7,"Está bien, cumple",0,54.0,0,-15.58,0
FitMorning,cereal,retail,131.62,65.61,66.01,50.15,10,44,58,baja,5,Podría mejorar,0,40.0,0,-28.41,0
FiberPlus,cereal,retail,94.18,46.59,47.59,50.53,8,56,65,baja,8,Excelente relación calidad-precio,1,76.0,1,15.51,1
FiberPlus,cereal,retail,136.01,84.18,51.83,38.11,8,59,48,media,4,Se me hizo caro,-1,18.0,0,-18.5,0
ChocoBoom,cereal,retail,105.66,72.35,33.31,31.53,8,77,44,media,6,Nada extraordinario,0,47.0,0,-5.66,0
CrunchMax,cereal,retail,108.01,67.29,40.72,37.7,9,51,51,baja,7,"Está bien, cumple",0,54.0,0,-17.68,0
VitalMix,cereal,retail,47.35,30.06,17.29,36.52,7,72,57,media,6,Solo lo compraría en promoción,0,47.0,0,5.71,0
GoldenGrain,cereal,retail,82.21,56.14,26.07,31.71,7,71,40,media,6,Solo lo compraría en promoción,0,47.0,0,5.04,0
CerealNova,cereal,marketplace,103.84,57.87,45.97,44.27,6,65,62,baja,6,Nada extraordinario,0,47.0,0,10.66,0
ChocoBoom,cereal,retail,41.48,24.59,16.89,40.72,9,100,77,alta,8,Me identifico con esta marca,1,76.0,1,26.08,1
KidsStar,cereal,retail,75.8,39.41,36.39,48.01,7,83,48,media,7,Es un cereal promedio,0,54.0,0,22.85,1
ChocoBoom,cereal,retail,74.08,44.3,29.78,40.2,8,80,52,media,6,Es un cereal promedio,0,47.0,0,7.89,0
GoldenGrain,cereal,retail,122.14,71.55,50.59,41.42,7,71,25,alta,6,"Está bien, cumple",0,47.0,0,-7.88,0
GoldenGrain,cereal,retail,91.61,51.53,40.08,43.75,5,57,65,baja,7,Es un cereal promedio,0,54.0,0,15.65,1
CornCrisp,cereal,retail,77.37,42.41,34.96,45.19,6,78,45,media,6,Es un cereal promedio,0,47.0,0,15.2,1
FitMorning,cereal,retail,152.63,73.17,79.46,52.06,6,55,56,baja,5,Podría mejorar,0,40.0,0,-3.25,0
KidsStar,cereal,retail,56.97,38.56,18.41,32.32,9,90,68,alta,9,Excelente relación calidad-precio,1,83.0,1,13.73,1
CornCrisp,cereal,marketplace,62.12,43.64,18.48,29.75,8,62,29,baja,6,Nada extraordinario,0,47.0,0,-14.66,0
FitMorning,cereal,marketplace,97.07,62.13,34.94,35.99,5,72,69,baja,6,Solo lo compraría en promoción,0,47.0,0,17.71,1
CrunchMax,cereal,retail,85.15,54.29,30.86,36.24,9,64,57,alta,3,No conecté con la marca,-1,11.0,0,-16.06,0
KidsStar,cereal,marketplace,91.46,62.36,29.1,31.82,7,76,56,alta,8,Excelente relación calidad-precio,1,76.0,1,17.43,1
VitalMix,cereal,retail,92.25,42.64,49.61,53.78,9,69,64,media,6,Podría mejorar,0,47.0,0,-5.42,0
FitMorning,cereal,retail,79.41,43.18,36.23,45.62,9,71,71,media,6,Podría mejorar,0,47.0,0,8.66,0
HoneyOats,cereal,marketplace,76.21,52.36,23.85,31.3,8,63,63,alta,5,Nada extraordinario,0,40.0,0,1.79,0
FiberPlus,cereal,retail,143.5,95.8,47.7,33.24,7,67,62,baja,8,Me encanta el sabor y la textura,1,76.0,1,4.94,0
